Pick,Player,Team,Position,PositionalRank
24.12,Calvin Austin,PIT,WR,113
25.01,Efton Chism,NE,WR,114
25.02,Cade Stover,HOU,TE,45
25.03,LeQuint Allen,JAX,RB,86
25.04,Nick Nash,WAS,WR,115
25.05,Taysom Hill,NO,TE,46
25.06,Deshaun Watson,CLE,QB,47
25.07,Will Dissly,LAC,TE,47
25.08,Phil Mafah,DAL,RB,87
25.09,Luke Schoonmaker,DAL,TE,48
25.10,Erick All,CIN,TE,49
25.11,Cam Akers,SEA,RB,88
25.12,Riley Leonard,IND,QB,48
26.01,Miles Sanders,DAL,RB,89
26.02,Darius Slayton,NYG,WR,116
26.03,Khalil Herbert,NYJ,RB,90
26.04,Aidan O'Connell,LV,QB,49
26.05,Zamir White,LV,RB,91
26.06,Kalel Mullings,TEN,RB,92
26.07,Tutu Atwell,LAR,WR,117
26.08,Malik Willis,GB,QB,50
26.09,Kenny Pickett,LV,QB,51
26.10,Jahan Dotson,PHI,WR,118
26.11,John Metchie,NYJ,WR,119
26.12,Raheem Mostert,LV,RB,93
27.01,Jalen Nailor,MIN,WR,120
27.02,Alexander Mattison,MIA,RB,94
27.03,Curtis Samuel,BUF,WR,121
27.04,Mitchell Evans,CAR,TE,50
27.05,Nick Westbrook-Ikhine,MIA,WR,122
27.06,Demarcus Robinson,SF,WR,123
27.07,Kenneth Gainwell,PIT,RB,95
27.08,Jacob Cowing,SF,WR,124
27.09,Jake Browning,CIN,QB,52
27.10,Trey Lance,LAC,QB,53
27.11,A.J. Dillon,PHI,RB,96
27.12,Brandin Cooks,BUF,WR,125
28.01,Raheim Sanders,CLE,RB,97
28.02,Dawson Knox,BUF,TE,51
28.03,Hendon Hooker,NYJ,QB,54
28.04,Gardner Minshew,KC,QB,55
28.05,Jordan Watkins,SF,WR,126
28.06,Chris Rodriguez,WAS,RB,98
28.07,Donovan Edwards,MIA,RB,99
28.08,Zach Wilson,MIA,QB,56
28.09,Mason Rudolph,PIT,QB,57
28.10,Ricky White,SEA,WR,127
28.11,Cam Miller,MIA,QB,58
28.12,Bub Means,NO,WR,128
29.01,Drew Lock,SEA,QB,59
29.02,Jimmy Garoppolo,LAR,QB,60
29.03,Ty Chandler,MIN,RB,100
29.04,Colby Parkinson,LAR,TE,52
29.05,Tyrod Taylor,NYJ,QB,61
29.06,Kyle McCord,GB,QB,62
29.07,Devontez Walker,BAL,WR,129
29.08,Ty Johnson,BUF,RB,101
29.09,Greg Dortch,ARI,WR,130
29.10,Konata Mumpfield,LAR,WR,131
29.11,Rondale Moore,MIN,WR,132
29.12,Darren Waller,MIA,TE,53
30.01,Marcus Mariota,WAS,QB,63
30.02,Jalin Hyatt,NYG,WR,133
30.03,Emanuel Wilson,GB,RB,102
30.04,Thomas Fidone,NYG,TE,54
30.05,Marquez Valdes-Scantling,PIT,WR,134
30.06,Olamide Zaccheaus,CHI,WR,135
30.07,Jonathan Mingo,DAL,WR,136
30.08,Austin Hooper,NE,TE,55
30.09,Daniel Bellinger,NYG,TE,56
30.10,Noah Brown,WAS,WR,137
30.11,Jared Wiley,KC,TE,57
30.12,Lan Larison,NE,RB,103
31.01,Kendrick Bourne,SF,WR,138
31.02,Brenden Rice,LV,WR,139
31.03,Jacoby Brissett,ARI,QB,64
31.04,Stone Smartt,NYJ,TE,58
31.05,Rasheen Ali,BAL,RB,104
31.06,Dylan Laube,LV,RB,105
31.07,Jelani Woods,NYJ,TE,59
31.08,KaVontae Turpin,DAL,WR,140
31.09,Grant Calcaterra,PHI,TE,60
31.10,Darnell Washington,PIT,TE,61
31.11,Treylon Burks,WAS,WR,141
31.12,Jaheim Bell,PHI,TE,62
32.01,Kurtis Rourke,SF,QB,65
32.02,Trey Palmer,NO,WR,142
32.03,Michael Carter,ARI,RB,106
32.04,Samaje Perine,CIN,RB,107
32.05,Jamari Thrash,CLE,WR,143
32.06,Greg Dulcich,MIA,TE,63
32.07,JuJu Smith-Schuster,KC,WR,144
32.08,Andy Dalton,CAR,QB,66
32.09,Josh Reynolds,NYJ,WR,145
32.10,Jake Bobo,SEA,WR,146
32.11,Joshua Dobbs,NE,QB,67
32.12,Sione Vaki,DET,RB,108
33.01,Carson Wentz,MIN,QB,68
33.02,Cooper Rush,BAL,QB,69
33.03,Emari Demercado,ARI,RB,109
33.04,Tommy Tremble,CAR,TE,64
33.05,Tim Patrick,JAX,WR,147
33.06,Ja'Quinden Jackson,JAX,RB,110
33.07,Mitchell Trubisky,BUF,QB,70
33.08,Tyler Goodson,IND,RB,111
33.09,Isaiah Neyor,GB,WR,148
33.10,Johnny Wilson,PHI,WR,149
33.11,Israel Abanikanda,DAL,RB,112
33.12,Ja'Corey Brooks,WAS,WR,150
34.01,Mack Hollins,NE,WR,151
34.02,Xavier Hutchinson,HOU,WR,152
34.03,Moliki Matavao,NO,TE,65
34.04,Ainias Smith,CAR,WR,153
34.05,Jarrett Stidham,DEN,QB,71
34.06,Tyson Bagent,CHI,QB,72
34.07,Ryan Flournoy,DAL,WR,154
34.08,Davis Mills,HOU,QB,73
34.09,Zay Jones,ARI,WR,155
34.10,Deuce Vaughn,DEN,RB,113
34.11,Xavier Gipson,NYG,WR,156
34.12,Corey Kiner,ARI,RB,114
35.01,Jeremy Ruckert,NYJ,TE,66
35.02,Tanner McKee,PHI,QB,74
35.03,Davis Allen,LAR,TE,67
35.04,Cornelius Johnson,BAL,WR,157
35.05,Tahj Washington,MIA,WR,158
35.06,Foster Moreau,NO,TE,68
35.07,Frank Gore,BUF,RB,115
35.08,Evan Hull,NO,RB,116
35.09,A.T. Perry,PIT,WR,159
35.10,Eric Gray,NYG,RB,117
35.11,Chris Brooks,GB,RB,118
35.12,Blake Watson,TEN,RB,119
