,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Round 1,"1.01 Jermaine Burton, None WR (1)","1.02 Louis Rees-Zammit, None RB (1)","1.03 Emani Bailey, None RB (2)","1.04 Jordan Travis, None QB (1)","1.05 Jase McClellan, None RB (3)","1.06 Dillon Johnson, None RB (4)","1.07 Jha'Quan Jackson, None WR (2)","1.08 Taulia Tagovailoa, None QB (2)","1.09 Michael Pratt, None QB (3)","1.10 Dallin Holker, None TE (1)","1.11 Hayden Hatten, None WR (3)","1.12 Devin Leary, None QB (4)"
Round 2,,,,,,,,,,,,
Round 3,,,,,,,,,,,,
Round 4,,,,,,,,,,,,
Round 5,,,,,,,,,,,,
