,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Round 1,"1.01 Josh Allen, BUF QB (1)","1.02 Jayden Daniels, WAS QB (2)","1.03 Lamar Jackson, BAL QB (3)","1.04 Ja'Marr Chase, CIN WR (1)","1.05 Joe Burrow, CIN QB (4)","1.06 Bijan Robinson, ATL RB (1)","1.07 Justin Jefferson, MIN WR (2)","1.08 Jalen Hurts, PHI QB (5)","1.09 Brock Bowers, LV TE (1)","1.10 Jahmyr Gibbs, DET RB (2)","1.11 Malik Nabers, NYG WR (3)","1.12 CeeDee Lamb, DAL WR (4)"
Round 2,"2.12 Omarion Hampton, LAC RB (5)","2.11 Drake Maye, NE QB (8)","2.10 Nico Collins, HOU WR (9)","2.09 Drake London, ATL WR (8)","2.08 Bo Nix, DEN QB (7)","2.07 Saquon Barkley, PHI RB (4)","2.06 Puka Nacua, LAR WR (7)","2.05 Amon-Ra St. Brown, DET WR (6)","2.04 Trey McBride, ARI TE (2)","2.03 Patrick Mahomes, KC QB (6)","2.02 Brian Thomas, JAX WR (5)","2.01 Ashton Jeanty, LV RB (3)"
Round 3,"3.01 Ladd McConkey, LAC WR (10)","3.02 Caleb Williams, CHI QB (9)","3.03 Marvin Harrison, ARI WR (11)","3.04 De'Von Achane, MIA RB (6)","3.05 Bucky Irving, TB RB (7)","3.06 Justin Herbert, LAC QB (10)","3.07 Jaxon Smith-Njigba, SEA WR (12)","3.08 C.J. Stroud, HOU QB (11)","3.09 Tetairoa McMillan, CAR WR (13)","3.10 TreVeyon Henderson, NE RB (8)","3.11 Garrett Wilson, NYJ WR (14)","3.12 A.J. Brown, PHI WR (15)"
Round 4,"4.12 Tee Higgins, CIN WR (17)","4.11 Kyler Murray, ARI QB (15)","4.10 Brock Purdy, SF QB (14)","4.09 Chase Brown, CIN RB (13)","4.08 Breece Hall, NYJ RB (12)","4.07 Jordan Love, GB QB (13)","4.06 Baker Mayfield, TB QB (12)","4.05 Travis Hunter, JAX WR (16)","4.04 Kyren Williams, LAR RB (11)","4.03 Sam LaPorta, DET TE (3)","4.02 Christian McCaffrey, SF RB (10)","4.01 Jonathan Taylor, IND RB (9)"
Round 5,"5.01 Rashee Rice, KC WR (18)","5.02 Josh Jacobs, GB RB (14)","5.03 J.J. McCarthy, MIN QB (16)","5.04 Derrick Henry, BAL RB (15)","5.05 Tyler Warren, IND TE (4)","5.06 Rome Odunze, CHI WR (19)","5.07 George Kittle, SF TE (5)","5.08 James Cook, BUF RB (16)","5.09 Emeka Egbuka, TB WR (20)","5.10 Cam Ward, TEN QB (17)","5.11 Trevor Lawrence, JAX QB (18)","5.12 RJ Harvey, DEN RB (17)"
Round 6,"6.12 Chuba Hubbard, CAR RB (21)","6.11 Terry McLaurin, WAS WR (24)","6.10 DK Metcalf, PIT WR (23)","6.09 Kaleb Johnson, PIT RB (20)","6.08 Michael Penix, ATL QB (21)","6.07 Quinshon Judkins, CLE RB (19)","6.06 DeVonta Smith, PHI WR (22)","6.05 Dak Prescott, DAL QB (20)","6.04 Colston Loveland, CHI TE (6)","6.03 Jared Goff, DET QB (19)","6.02 Xavier Worthy, KC WR (21)","6.01 Kenneth Walker, SEA RB (18)"
Round 7,"7.01 Jameson Williams, DET WR (25)","7.02 Zay Flowers, BAL WR (26)","7.03 Bryce Young, CAR QB (22)","7.04 George Pickens, DAL WR (27)","7.05 T.J. Hockenson, MIN TE (7)","7.06 Matthew Golden, GB WR (28)","7.07 DJ Moore, CHI WR (29)","7.08 Justin Fields, NYJ QB (23)","7.09 Tyreek Hill, MIA WR (30)","7.10 Alvin Kamara, NO RB (22)","7.11 Chris Olave, NO WR (31)","7.12 Jordan Addison, MIN WR (32)"
Round 8,"8.12 Jayden Higgins, HOU WR (39)","8.11 D'Andre Swift, CHI RB (24)","8.10 Davante Adams, LAR WR (38)","8.09 Tucker Kraft, GB TE (8)","8.08 Tua Tagovailoa, MIA QB (25)","8.07 Courtland Sutton, DEN WR (37)","8.06 Jerry Jeudy, CLE WR (36)","8.05 Jaxson Dart, NYG QB (24)","8.04 Mike Evans, TB WR (35)","8.03 Isiah Pacheco, KC RB (23)","8.02 Ricky Pearsall, SF WR (34)","8.01 Jaylen Waddle, MIA WR (33)"
Round 9,"9.01 David Montgomery, DET RB (25)","9.02 Luther Burden, CHI WR (40)","9.03 James Conner, ARI RB (26)","9.04 Dalton Kincaid, BUF TE (9)","9.05 Cam Skattebo, NYG RB (27)","9.06 Mark Andrews, BAL TE (10)","9.07 Kyle Pitts, ATL TE (11)","9.08 Sam Darnold, SEA QB (26)","9.09 Josh Downs, IND WR (41)","9.10 Tony Pollard, TEN RB (28)","9.11 David Njoku, CLE TE (12)","9.12 Calvin Ridley, TEN WR (42)"
Round 10,"10.12 Jayden Reed, GB WR (47)","10.11 Brandon Aiyuk, SF WR (46)","10.10 Evan Engram, DEN TE (14)","10.09 Trey Benson, ARI RB (32)","10.08 Khalil Shakir, BUF WR (45)","10.07 Keon Coleman, BUF WR (44)","10.06 Tre' Harris, LAC WR (43)","10.05 Travis Etienne, JAX RB (31)","10.04 Geno Smith, LV QB (27)","10.03 Zach Charbonnet, SEA RB (30)","10.02 Travis Kelce, KC TE (13)","10.01 Tyrone Tracy, NYG RB (29)"
