,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Round 1,"1.1 Ashton Jeanty, LV RB (1)","1.2 Omarion Hampton, LAC RB (2)","1.3 Tetairoa McMillan, CAR WR (1)","1.4 Cam Ward, TEN QB (1)","1.5 TreVeyon Henderson, NE RB (3)","1.6 Travis Hunter, JAX WR (2)","1.7 Tyler Warren, IND TE (1)","1.8 RJ Harvey, DEN RB (4)","1.9 Emeka Egbuka, TB WR (3)","1.10 Matthew Golden, GB WR (4)","1.11 Kaleb Johnson, PIT RB (5)","1.12 Colston Loveland, CHI TE (2)"
Round 2,"2.1 Quinshon Judkins, CLE RB (6)","2.2 Jayden Higgins, HOU WR (5)","2.3 Cam Skattebo, NYG RB (7)","2.4 Jaxson Dart, NYG QB (2)","2.5 Luther Burden, CHI WR (6)","2.6 Elijah Arroyo, SEA TE (3)","2.7 Tre' Harris, LAC WR (7)","2.8 Jacory Croskey-Merritt, WAS RB (8)","2.9 Kyle Williams, NE WR (8)","2.10 Bhayshul Tuten, JAX RB (9)","2.11 Mason Taylor, NYJ TE (4)","2.12 Jack Bech, LV WR (9)"
Round 3,"3.1 Isaac TeSlaa, DET WR (10)","3.2 Jalen Milroe, SEA QB (3)","3.3 Pat Bryant, DEN WR (11)","3.4 Dont'e Thornton, LV WR (12)","3.5 Terrance Ferguson, LAR TE (5)","3.6 Jaylin Noel, HOU WR (13)","3.7 Jaydon Blue, DAL RB (10)","3.8 Tyler Shough, NO QB (4)","3.9 Cam Miller, MIA QB (5)","3.10 Chimere Dike, TEN WR (14)","3.11 Gunnar Helm, TEN TE (6)","3.12 Dylan Sampson, CLE RB (11)"
Round 4,"4.1 Jaylin Lane, WAS WR (15)","4.2 Shedeur Sanders, CLE QB (6)","4.3 Arian Smith, NYJ WR (16)","4.4 Savion Williams, GB WR (17)","4.5 Jalen Royals, KC WR (18)","4.6 Ollie Gordon, MIA RB (12)","4.7 Efton Chism, NE WR (19)","4.8 Harold Fannin, CLE TE (7)","4.9 Tory Horton, SEA WR (20)","4.10 Brashard Smith, KC RB (13)","4.11 DJ Giddens, IND RB (14)","4.12 Will Howard, PIT QB (7)"
Round 5,"5.1 Woody Marks, HOU RB (15)","5.2 Kyle Monangai, CHI RB (16)","5.3 Oronde Gadsden, LAC TE (8)","5.4 Elic Ayomanor, TEN WR (21)","5.5 Isaiah Bond, CLE WR (22)","5.6 Jarquez Hunter, LAR RB (17)","5.7 Quinn Ewers, MIA QB (8)","5.8 Devin Neal, NO RB (18)","5.9 KeAndre Lambert-Smith, LAC WR (23)","5.10 Tahj Brooks, CIN RB (19)","5.11 Jordan James, SF RB (20)","5.12 Tai Felton, MIN WR (24)"
