,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Round 1,"1.01 Ashton Jeanty, LV RB (1)","1.02 Omarion Hampton, LAC RB (2)","1.03 Cam Ward, TEN QB (1)","1.04 Travis Hunter, JAX WR (1)","1.05 Tetairoa McMillan, CAR WR (2)","1.06 TreVeyon Henderson, NE RB (3)","1.07 Quinshon Judkins, CLE RB (4)","1.08 Tyler Warren, IND TE (1)","1.09 Kaleb Johnson, PIT RB (5)","1.10 RJ Harvey, DEN RB (6)","1.11 Colston Loveland, CHI TE (2)","1.12 Emeka Egbuka, TB WR (3)"
Round 2,"2.01 Matthew Golden, GB WR (4)","2.02 Jaxson Dart, NYG QB (2)","2.03 Jayden Higgins, HOU WR (5)","2.04 Cam Skattebo, NYG RB (7)","2.05 Luther Burden, CHI WR (6)","2.06 Tre' Harris, LAC WR (7)","2.07 Jack Bech, LV WR (8)","2.08 Tyler Shough, NO QB (3)","2.09 Bhayshul Tuten, JAX RB (8)","2.10 Jalen Milroe, SEA QB (4)","2.11 Jaylin Noel, HOU WR (9)","2.12 Mason Taylor, NYJ TE (3)"
Round 3,"3.01 Elijah Arroyo, SEA TE (4)","3.02 Kyle Williams, NE WR (10)","3.03 Shedeur Sanders, CLE QB (5)","3.04 Pat Bryant, DEN WR (11)","3.05 Terrance Ferguson, LAR TE (5)","3.06 Jaydon Blue, DAL RB (9)","3.07 Dylan Sampson, CLE RB (10)","3.08 Isaac TeSlaa, DET WR (12)","3.09 Jalen Royals, KC WR (13)","3.10 Harold Fannin, CLE TE (6)","3.11 Jackson Hawes, BUF TE (7)","3.12 Isaiah Neyor, GB WR (14)"
Round 4,"4.01 Dont'e Thornton, LV WR (15)","4.02 Jacory Croskey-Merritt, WAS RB (11)","4.03 Elic Ayomanor, TEN WR (16)","4.04 Savion Williams, GB WR (17)","4.05 Jaylin Lane, WAS WR (18)","4.06 Jordan Watkins, SF WR (19)","4.07 Chimere Dike, TEN WR (20)","4.08 Arian Smith, NYJ WR (21)","4.09 Gunnar Helm, TEN TE (8)","4.10 Kyle Monangai, CHI RB (12)","4.11 Will Howard, PIT QB (6)","4.12 Devin Neal, NO RB (13)"
Round 5,"5.01 Marcus Yarns, None RB (14)","5.02 Konata Mumpfield, LAR WR (22)","5.03 Efton Chism, NE WR (23)","5.04 Jarquez Hunter, LAR RB (15)","5.05 Phil Mafah, DAL RB (16)","5.06 DJ Giddens, IND RB (17)","5.07 Thomas Fidone, NYG TE (9)","5.08 Cam Miller, MIA QB (7)","5.09 Ricky White, SEA WR (24)","5.10 Mitchell Evans, CAR TE (10)","5.11 Nick Nash, WAS WR (25)","5.12 Moliki Matavao, NO TE (11)"
