,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Round 12,"12.12 Juwan Johnson, NO TE (22)","12.11 Troy Franklin, DEN WR (53)","12.10 Tua Tagovailoa, MIA QB (30)","12.09 Tyrone Tracy, NYG RB (39)","12.08 Tony Pollard, TEN RB (38)","12.07 AJ Barner, SEA TE (21)","12.06 Jauan Jennings, SF WR (52)","12.05 Josh Downs, IND WR (51)","12.04 Brandon Aiyuk, SF WR (50)","12.03 Kaleb Johnson, PIT RB (37)","12.02 Jacory Croskey-Merritt, WAS RB (36)","12.01 Jalen Coker, CAR WR (49)"
Round 13,"13.01 Tre' Harris, LAC WR (54)","13.02 Chris Godwin, TB WR (55)","13.03 Kenneth Gainwell, PIT RB (40)","13.04 Tyjae Spears, TEN RB (41)","13.05 Braelon Allen, NYJ RB (42)","13.06 Jerry Jeudy, CLE WR (56)","13.07 Mac Jones, SF QB (31)","13.08 Hunter Henry, NE TE (23)","13.09 Pat Bryant, DEN WR (57)","13.10 J.K. Dobbins, DEN RB (43)","13.11 Alvin Kamara, NO RB (44)","13.12 Stefon Diggs, NE WR (58)"
Round 14,"14.12 Dylan Sampson, CLE RB (48)","14.11 Dalton Schultz, HOU TE (25)","14.10 David Njoku, CLE TE (24)","14.09 Chimere Dike, TEN WR (64)","14.08 Rachaad White, TB RB (47)","14.07 Isaac TeSlaa, DET WR (63)","14.06 Tyreek Hill, MIA WR (62)","14.05 Jonathon Brooks, CAR RB (46)","14.04 Deebo Samuel, WAS WR (61)","14.03 Romeo Doubs, GB WR (60)","14.02 Jalen McMillan, TB WR (59)","14.01 Jordan Mason, MIN RB (45)"
Round 15,"15.01 Kyle Williams, NE WR (65)","15.02 Kayshon Boutte, NE WR (66)","15.03 Cade Otton, TB TE (26)","15.04 Devin Neal, NO RB (49)","15.05 Elic Ayomanor, TEN WR (67)","15.06 Adonai Mitchell, NYJ WR (68)","15.07 Gunnar Helm, TEN TE (27)","15.08 Rashid Shaheed, SEA WR (69)","15.09 Isiah Pacheco, KC RB (50)","15.10 Elijah Arroyo, SEA TE (28)","15.11 Anthony Richardson, IND QB (32)","15.12 Brian Robinson, SF RB (51)"
Round 16,"16.12 Tre Tucker, LV WR (74)","16.11 Chig Okonkwo, TEN TE (30)","16.10 James Conner, ARI RB (54)","16.09 Jaylin Noel, HOU WR (73)","16.08 Jack Bech, LV WR (72)","16.07 Jaydon Blue, DAL RB (53)","16.06 Jacoby Brissett, ARI QB (34)","16.05 Tank Bigsby, PHI RB (52)","16.04 Travis Kelce, KC TE (29)","16.03 Justin Fields, NYJ QB (33)","16.02 Keon Coleman, BUF WR (71)","16.01 Tory Horton, SEA WR (70)"
Round 17,"17.01 Kimani Vidal, LAC RB (55)","17.02 Tank Dell, HOU WR (75)","17.03 Ben Sinnott, WAS TE (31)","17.04 Pat Freiermuth, PIT TE (32)","17.05 Michael Mayer, LV TE (33)","17.06 Joe Mixon, HOU RB (56)","17.07 Sean Tucker, TB RB (57)","17.08 Ollie Gordon, MIA RB (58)","17.09 Aaron Jones, MIN RB (59)","17.10 Jake Tonges, SF TE (34)","17.11 Jalen Milroe, SEA QB (35)","17.12 Marvin Mims, DEN WR (76)"
Round 18,"18.12 Colby Parkinson, LAR TE (36)","18.11 Calvin Ridley, TEN WR (77)","18.10 Ray Davis, BUF RB (64)","18.09 Will Howard, PIT QB (39)","18.08 Evan Engram, DEN TE (35)","18.07 Najee Harris, LAC RB (63)","18.06 Jaylen Wright, MIA RB (62)","18.05 Quinn Ewers, MIA QB (38)","18.04 Brashard Smith, KC RB (61)","18.03 Aaron Rodgers, PIT QB (37)","18.02 Keaton Mitchell, BAL RB (60)","18.01 Kirk Cousins, ATL QB (36)"
Round 19,"19.01 DJ Giddens, IND RB (65)","19.02 Ja'Tavion Sanders, CAR TE (37)","19.03 Geno Smith, LV QB (40)","19.04 Riley Leonard, IND QB (41)","19.05 Xavier Legette, CAR WR (78)","19.06 Isaiah Bond, CLE WR (79)","19.07 Cole Kmet, CHI TE (38)","19.08 Dont'e Thornton, LV WR (80)","19.09 Darnell Mooney, ATL WR (81)","19.10 Kendre Miller, NO RB (66)","19.11 Jalen Royals, KC WR (82)","19.12 Tez Johnson, TB WR (83)"
Round 20,"20.12 Jonnu Smith, PIT TE (40)","20.11 Rashod Bateman, BAL WR (87)","20.10 Malik Washington, MIA WR (86)","20.09 Trevor Etienne, CAR RB (70)","20.08 Christian Kirk, HOU WR (85)","20.07 Deshaun Watson, CLE QB (43)","20.06 Joe Milton, DAL QB (42)","20.05 Chris Rodriguez, WAS RB (69)","20.04 Noah Gray, KC TE (39)","20.03 Isaiah Davis, NYJ RB (68)","20.02 Cedric Tillman, CLE WR (84)","20.01 Emanuel Wilson, GB RB (67)"
Round 21,"21.01 Devaughn Vele, NO WR (88)","21.02 Audric Estime, NO RB (71)","21.03 Jordan James, SF RB (72)","21.04 Cooper Kupp, SEA WR (89)","21.05 Mike Gesicki, CIN TE (41)","21.06 DeMario Douglas, NE WR (90)","21.07 Jarquez Hunter, LAR RB (73)","21.08 Ryan Flournoy, DAL WR (91)","21.09 Marcus Mariota, WAS QB (44)","21.10 Tahj Brooks, CIN RB (74)","21.11 Isaac Guerendo, SF RB (75)","21.12 Marquise Brown, KC WR (92)"
Round 22,"22.12 Jerome Ford, CLE RB (78)","22.11 Dillon Gabriel, CLE QB (48)","22.10 Keenan Allen, LAC WR (95)","22.09 Will Levis, TEN QB (47)","22.08 Greg Dulcich, MIA TE (43)","22.07 Efton Chism, NE WR (94)","22.06 Darnell Washington, PIT TE (42)","22.05 MarShawn Lloyd, GB RB (77)","22.04 Dontayvion Wicks, GB WR (93)","22.03 Jameis Winston, NYG QB (46)","22.02 LeQuint Allen, JAX RB (76)","22.01 Spencer Rattler, NO QB (45)"
Round 23,"23.01 Dawson Knox, BUF TE (44)","23.02 Joe Flacco, CIN QB (49)","23.03 Darren Waller, MIA TE (45)","23.04 Jaylin Lane, WAS WR (96)","23.05 Will Shipley, PHI RB (79)","23.06 Erick All, CIN TE (46)","23.07 Ja'Lynn Polk, NO WR (97)","23.08 Cade Stover, HOU TE (47)","23.09 John Metchie, NYJ WR (98)","23.10 Jalen Nailor, MIN WR (99)","23.11 Nick Chubb, HOU RB (80)","23.12 Austin Ekeler, WAS RB (81)"
Round 24,"24.12 Mitchell Evans, CAR TE (49)","24.11 Roman Wilson, PIT WR (104)","24.10 Savion Williams, GB WR (103)","24.09 Kareem Hunt, KC RB (83)","24.08 Tanner McKee, PHI QB (52)","24.07 Phil Mafah, DAL RB (82)","24.06 Russell Wilson, NYG QB (51)","24.05 Andrei Iosivas, CIN WR (102)","24.04 Xavier Restrepo, TEN WR (101)","24.03 Luke McCaffrey, WAS WR (100)","24.02 Luke Musgrave, GB TE (48)","24.01 Davis Mills, HOU QB (50)"
Round 25,"25.01 Jimmy Garoppolo, LAR QB (53)","25.02 Calvin Austin, PIT WR (105)","25.03 Zach Ertz, WAS TE (50)","25.04 KeAndre Lambert-Smith, LAC WR (106)","25.05 Noah Fant, CIN TE (51)","25.06 Devin Singletary, NYG RB (84)","25.07 Konata Mumpfield, LAR WR (107)","25.08 Treylon Burks, WAS WR (108)","25.09 Jordan Whittington, LAR WR (109)","25.10 Jaleel McLaughlin, DEN RB (85)","25.11 Darius Slayton, NYG WR (110)","25.12 Joshua Palmer, BUF WR (111)"
Round 26,,,"26.10 Mason Rudolph, PIT QB (57)","26.09 Jahan Dotson, PHI WR (114)","26.08 Tai Felton, MIN WR (113)","26.07 Damien Martinez, GB RB (88)","26.06 Zach Wilson, MIA QB (56)","26.05 Roschon Johnson, CHI RB (87)","26.04 Raheim Sanders, CLE RB (86)","26.03 Trey Lance, LAC QB (55)","26.02 Tyson Bagent, CHI QB (54)","26.01 Jimmy Horn, CAR WR (112)"
Round 27,,,,,,,,,,,,
Round 28,,,,,,,,,,,,
Round 29,,,,,,,,,,,,
Round 30,,,,,,,,,,,,
Round 31,,,,,,,,,,,,
Round 32,,,,,,,,,,,,
Round 33,,,,,,,,,,,,
Round 34,,,,,,,,,,,,
Round 35,,,,,,,,,,,,
