Pick,Player,Team,Position,PositionalRank
1.01,Josh Allen,BUF,QB,1
1.02,Drake Maye,NE,QB,2
1.03,Bijan Robinson,ATL,RB,1
1.04,Ja'Marr Chase,CIN,WR,1
1.05,Jaxon Smith-Njigba,SEA,WR,2
1.06,Jahmyr Gibbs,DET,RB,2
1.07,Puka Nacua,LAR,WR,3
1.08,Jayden Daniels,WAS,QB,3
1.09,Brock Bowers,LV,TE,1
1.10,Trey McBride,ARI,TE,2
1.11,Malik Nabers,NYG,WR,4
1.12,Amon-Ra St. Brown,DET,WR,5
2.01,CeeDee Lamb,DAL,WR,6
2.02,Lamar Jackson,BAL,QB,4
2.03,Justin Jefferson,MIN,WR,7
2.04,Ashton Jeanty,LV,RB,3
2.05,De'Von Achane,MIA,RB,4
2.06,Joe Burrow,CIN,QB,5
2.07,Caleb Williams,CHI,QB,6
2.08,Drake London,ATL,WR,8
2.09,Omarion Hampton,LAC,RB,5
2.10,Jalen Hurts,PHI,QB,7
2.11,Jonathan Taylor,IND,RB,6
2.12,Patrick Mahomes,KC,QB,8
3.01,Justin Herbert,LAC,QB,9
3.02,Tetairoa McMillan,CAR,WR,9
3.03,Nico Collins,HOU,WR,10
3.04,Jaxson Dart,NYG,QB,10
3.05,TreVeyon Henderson,NE,RB,7
3.06,James Cook,BUF,RB,8
3.07,Bo Nix,DEN,QB,11
3.08,Tyler Warren,IND,TE,3
3.09,Rashee Rice,KC,WR,11
3.10,George Pickens,DAL,WR,12
3.11,Christian McCaffrey,SF,RB,9
3.12,Garrett Wilson,NYJ,WR,13
4.01,Trevor Lawrence,JAX,QB,12
4.02,Bucky Irving,TB,RB,10
4.03,Brock Purdy,SF,QB,13
4.04,Colston Loveland,CHI,TE,4
4.05,Emeka Egbuka,TB,WR,14
4.06,Chris Olave,NO,WR,15
4.07,Breece Hall,NYJ,RB,11
4.08,Quinshon Judkins,CLE,RB,12
4.09,Chase Brown,CIN,RB,13
4.10,Saquon Barkley,PHI,RB,14
4.11,Ladd McConkey,LAC,WR,16
4.12,C.J. Stroud,HOU,QB,14
5.01,Marvin Harrison,ARI,WR,17
5.02,Brian Thomas,JAX,WR,18
5.03,Dak Prescott,DAL,QB,15
5.04,Tucker Kraft,GB,TE,5
5.05,Kyren Williams,LAR,RB,15
5.06,Cam Skattebo,NYG,RB,16
5.07,Rome Odunze,CHI,WR,19
5.08,Jordan Love,GB,QB,16
5.09,Harold Fannin,CLE,TE,6
5.10,Tee Higgins,CIN,WR,20
5.11,RJ Harvey,DEN,RB,17
5.12,Baker Mayfield,TB,QB,17
6.01,A.J. Brown,PHI,WR,21
6.02,Sam LaPorta,DET,TE,7
6.03,Josh Jacobs,GB,RB,18
6.04,Zay Flowers,BAL,WR,22
6.05,Jameson Williams,DET,WR,23
6.06,Jared Goff,DET,QB,18
6.07,Kenneth Walker,SEA,RB,19
6.08,Luther Burden,CHI,WR,24
6.09,Kyle Pitts,ATL,TE,8
6.10,Travis Etienne,JAX,RB,20
6.11,Cam Ward,TEN,QB,19
6.12,Travis Hunter,JAX,WR,25
