,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12
Round 1,"1.01 Bijan Robinson, ATL RB (1)","1.02 Josh Allen, BUF QB (1)","1.03 Ja'Marr Chase, CIN WR (1)","1.04 Drake Maye, NE QB (2)","1.05 Puka Nacua, LAR WR (2)","1.06 Jahmyr Gibbs, DET RB (2)","1.07 Jaxon Smith-Njigba, SEA WR (3)","1.08 Malik Nabers, NYG WR (4)","1.09 Jayden Daniels, WAS QB (3)","1.10 Justin Jefferson, MIN WR (5)","1.11 Lamar Jackson, BAL QB (4)","1.12 Ashton Jeanty, LV RB (3)"
Round 2,"2.12 Jaxson Dart, NYG QB (8)","2.11 Tetairoa McMillan, CAR WR (9)","2.10 Caleb Williams, CHI QB (7)","2.09 Drake London, ATL WR (8)","2.08 Jalen Hurts, PHI QB (6)","2.07 Omarion Hampton, LAC RB (5)","2.06 De'Von Achane, MIA RB (4)","2.05 Trey McBride, ARI TE (2)","2.04 CeeDee Lamb, DAL WR (7)","2.03 Joe Burrow, CIN QB (5)","2.02 Brock Bowers, LV TE (1)","2.01 Amon-Ra St. Brown, DET WR (6)"
Round 3,"3.01 Jonathan Taylor, IND RB (6)","3.02 James Cook, BUF RB (7)","3.03 Nico Collins, HOU WR (10)","3.04 Patrick Mahomes, KC QB (9)","3.05 Bo Nix, DEN QB (10)","3.06 Saquon Barkley, PHI RB (8)","3.07 Trevor Lawrence, JAX QB (11)","3.08 Justin Herbert, LAC QB (12)","3.09 Colston Loveland, CHI TE (3)","3.10 Garrett Wilson, NYJ WR (11)","3.11 George Pickens, DAL WR (12)","3.12 Bucky Irving, TB RB (9)"
Round 4,"4.12 A.J. Brown, PHI WR (19)","4.11 Emeka Egbuka, TB WR (17)","4.10 Marvin Harrison, ARI WR (18)","4.09 Ladd McConkey, LAC WR (16)","4.08 Quinshon Judkins, CLE RB (13)","4.07 Christian McCaffrey, SF RB (12)","4.06 TreVeyon Henderson, NE RB (11)","4.05 Breece Hall, NYJ RB (10)","4.04 Brian Thomas, JAX WR (15)","4.03 Tyler Warren, IND TE (4)","4.02 Rashee Rice, KC WR (14)","4.01 Chris Olave, NO WR (13)"
Round 5,"5.01 Kyren Williams, LAR RB (14)","5.02 Cam Skattebo, NYG RB (15)","5.03 Dak Prescott, DAL QB (13)","5.04 Chase Brown, CIN RB (16)","5.05 Brock Purdy, SF QB (14)","5.06 Rome Odunze, CHI WR (20)","5.07 Zay Flowers, BAL WR (21)","5.08 Jordan Love, GB QB (15)","5.09 Kenneth Walker, SEA RB (17)","5.10 Tee Higgins, CIN WR (22)","5.11 Josh Jacobs, GB RB (18)","5.12 RJ Harvey, DEN RB (19)"
Round 6,"6.12 DeVonta Smith, PHI WR (26)","6.11 Luther Burden, CHI WR (25)","6.10 Javonte Williams, DAL RB (21)","6.09 C.J. Stroud, HOU QB (18)","6.08 Jared Goff, DET QB (17)","6.07 Jameson Williams, DET WR (24)","6.06 Kyle Pitts, ATL TE (7)","6.05 Derrick Henry, BAL RB (20)","6.04 Travis Hunter, JAX WR (23)","6.03 Sam LaPorta, DET TE (6)","6.02 Baker Mayfield, TB QB (16)","6.01 Harold Fannin, CLE TE (5)"
Round 7,"7.01 Travis Etienne, JAX RB (22)","7.02 Tyler Shough, NO QB (19)","7.03 Cam Ward, TEN QB (20)","7.04 Tucker Kraft, GB TE (8)","7.05 Sam Darnold, SEA QB (21)","7.06 Jaylen Waddle, MIA WR (27)","7.07 D'Andre Swift, CHI RB (23)","7.08 Ricky Pearsall, SF WR (28)","7.09 Michael Wilson, ARI WR (29)","7.10 Bryce Young, CAR QB (22)","7.11 Matthew Stafford, LAR QB (23)","7.12 Matthew Golden, GB WR (30)"
Round 8,"8.12 J.J. McCarthy, MIN QB (26)","8.11 Daniel Jones, IND QB (25)","8.10 Jake Ferguson, DAL TE (10)","8.09 Chuba Hubbard, CAR RB (25)","8.08 Jayden Higgins, HOU WR (35)","8.07 Terry McLaurin, WAS WR (34)","8.06 Kyler Murray, ARI QB (24)","8.05 Oronde Gadsden, LAC TE (9)","8.04 Jaylen Warren, PIT RB (24)","8.03 Jordan Addison, MIN WR (33)","8.02 Xavier Worthy, KC WR (32)","8.01 DK Metcalf, PIT WR (31)"
Round 9,"9.01 Dalton Kincaid, BUF TE (11)","9.02 George Kittle, SF TE (12)","9.03 Woody Marks, HOU RB (26)","9.04 Courtland Sutton, DEN WR (36)","9.05 Wan'Dale Robinson, NYG WR (37)","9.06 Davante Adams, LAR WR (38)","9.07 Parker Washington, JAX WR (39)","9.08 DJ Moore, CHI WR (40)","9.09 Michael Penix, ATL QB (27)","9.10 Trey Benson, ARI RB (27)","9.11 Quentin Johnston, LAC WR (41)","9.12 Christian Watson, GB WR (42)"
Round 10,"10.12 Tony Pollard, TEN RB (33)","10.11 Jakobi Meyers, JAX WR (47)","10.10 Jalen Coker, CAR WR (46)","10.09 Michael Pittman, IND WR (45)","10.08 Brenton Strange, JAX TE (13)","10.07 Alec Pierce, IND WR (44)","10.06 Kaleb Johnson, PIT RB (32)","10.05 Jayden Reed, GB WR (43)","10.04 Zach Charbonnet, SEA RB (31)","10.03 Blake Corum, LAR RB (30)","10.02 Kyle Monangai, CHI RB (29)","10.01 Jacory Croskey-Merritt, WAS RB (28)"
